CircleNum,LoopNum,IterNum,PulseRole,V_applied,PulseDur_s_col,U_out_immediate,I_immediate,R_immediate,T_immediate,R_before,G_before,R_after_1s,G_after_1s,I_after_1s,U_after_1s,T_after_1s,R_after_5s,G_after_5s,I_after_5s,U_after_5s,T_after_5s,R_after_10s,G_after_10s,I_after_10s,U_after_10s,T_after_10s,time_stamp
1,2,4,sweep_reset,0.4,0.001,0.399893,5.1058e-05,7832.132,0,8807.383,0.0001135411052295,8759.041,0.0001141677496429,2.28242e-05,0.1999181,0,8724.448,0.0001146204321465,2.29147e-05,0.1999181,0,8723.306,0.0001146354375279,2.29177e-05,0.1999181,0,2026-06-22 10:44:22
1,2,5,fixed_set,1.5,0.001,0.854914,9.99586e-05,8552.681,0,8723.306,0.0001146354375279,8862.107,0.0001128399826361,2.25588e-05,0.1999185,0,8876.193,0.0001126609121725,2.2523e-05,0.1999185,0,8875.681,0.0001126674110978,2.25243e-05,0.1999185,0,2026-06-22 10:44:33
1,2,5,sweep_reset,0.5,0.001,0.499834,6.338e-05,7886.305,0,8875.681,0.0001126674110978,8375.342,0.0001193981093548,2.38697e-05,0.1999169,0,8377.584,0.0001193661561614,2.38633e-05,0.1999168,0,8372.462,0.0001194391804943,2.38779e-05,0.1999168,0,2026-06-22 10:44:44
1,2,6,fixed_set,1.5,0.001,0.838704,9.99588e-05,8390.497,0,8372.462,0.0001194391804943,8701.053,0.0001149286184097,2.29763e-05,0.199918,0,8706.054,0.000114862600209,2.29631e-05,0.199918,0,8704.425,0.0001148840963073,2.29674e-05,0.199918,0,2026-06-22 10:44:55
1,2,6,sweep_reset,0.6,0.001,0.599755,8.0269e-05,7471.814,0,8704.425,0.0001148840963073,8365.56,0.0001195377237148,2.38976e-05,0.1999168,0,8367.034,0.0001195166650452,2.38934e-05,0.1999169,0,8285.256,0.000120696330928,2.41292e-05,0.1999166,0,2026-06-22 10:45:06
1,2,7,fixed_set,1.5,0.001,0.83996,9.99586e-05,8403.079,0,8285.256,0.000120696330928,8291.785,0.0001206012939312,2.41102e-05,0.1999166,0,8296.327,0.0001205352681976,2.4097e-05,0.1999166,0,8298.979,0.0001204967502628,2.40893e-05,0.1999166,0,2026-06-22 10:45:17
1,2,7,sweep_reset,0.7,0.001,0.699648,9.3333e-05,7496.255,0,8298.979,0.0001204967502628,8634.639,0.000115812600851,2.3153e-05,0.1999178,0,8724.866,0.000114614940791,2.29136e-05,0.1999181,0,8725.133,0.0001146114334302,2.29129e-05,0.1999181,0,2026-06-22 10:45:28
1,2,8,fixed_set,1.5,0.001,0.877193,9.99581e-05,8775.607,0,8725.133,0.0001146114334302,9065.895,0.0001103035056108,2.20518e-05,0.1999193,0,9066.525,0.0001102958410195,2.20502e-05,0.1999187,0,9064.986,0.0001103145663986,2.2054e-05,0.1999192,0,2026-06-22 10:45:39
1,2,8,sweep_reset,0.8,0.001,0.799536,5.9128e-05,13522.12,0,9064.986,0.0001103145663986,17738.91,5.63732495401352e-05,1.1271e-05,0.1999352,0,17510.18,5.71096356519465e-05,1.14182e-05,0.1999347,0,17546.98,5.69898637828276e-05,1.13943e-05,0.1999355,0,2026-06-22 10:45:50
1,2,9,fixed_set,1.5,0.001,0.977129,9.99547e-05,9775.718,0,17546.98,5.69898637828276e-05,13093.67,7.63727816570908e-05,1.52691e-05,0.1999286,0,13095.67,7.63611178351318e-05,1.52668e-05,0.199929,0,12744.42,7.84657128374614e-05,1.56875e-05,0.1999281,0,2026-06-22 10:46:01
